step,mass_sol,mass_kg,r_schwarzschild_km,r_core_km,r_core_planck,rho_coherence,time_dilation,coherence_strength,coherence_challenge,maintains_coherence,status,is_finite
106,217.10676025372672,4.31710279561728e+32,641.1899451702832,4.857032408540898e-37,30.05115163474141,8.994784785805734e+131,1.320126964857752e+39,0.8916251183291088,2.336673346693387,True,COHERENT CORE,True
107,228.41122073038255,4.541888600857438e+32,674.5758534890093,4.939909932891505e-37,30.563926687877252,8.994784785805737e+131,1.3655630621875653e+39,0.8898819749442151,2.3587174348697397,True,COHERENT CORE,True
108,240.30428944069695,4.7783787042414265e+32,709.7001216848082,5.02420163023186e-37,31.085451430819145,8.994784785805732e+131,1.412562977995086e+39,0.8881426699277485,2.3807615230460923,True,COHERENT CORE,True
109,252.81661443315005,5.027182533018859e+32,746.6532638462396,5.109931631172289e-37,31.61587516309177,8.994784785805734e+131,1.4611805357461252e+39,0.886407194827695,2.402805611222445,True,COHERENT CORE,True
110,265.98043955937584,5.2889412465063205e+32,785.5305070101638,5.1971244780735595e-37,32.15534973177846,8.994784785805737e+131,1.5114714114012134e+39,0.8846755412106521,2.4248496993987976,True,COHERENT CORE,True
111,279.82968756551185,5.564329388333933e+32,826.4320365586963,5.285805132072754e-37,32.70402957499129,8.994784785805732e+131,1.563493197174718e+39,0.8829477006617868,2.4468937875751506,True,COHERENT CORE,True
112,294.4000475100037,5.85405662472217e+32,869.4632543936539,5.375998980229004e-37,33.26207176608273,8.994784785805737e+131,1.61730546748842e+39,0.8812236647847962,2.4689378757515033,True,COHERENT CORE,True
113,309.729066733141,6.158869573268489e+32,914.7350505538055,5.467731842791191e-37,33.82963605861198,8.994784785805735e+131,1.6729698471950804e+39,0.8795034252018653,2.490981963927856,True,COHERENT CORE,True
114,325.8562476153226,6.479553726956406e+32,962.3640889748687,5.561029980589627e-37,34.406884932078334,8.994784785805734e+131,1.7305500821501247e+39,0.8777869735536273,2.5130260521042085,True,COHERENT CORE,True
115,342.8231493733971,6.81693547834519e+32,1012.4731081286498,5.655920102553881e-37,34.993983638435026,8.994784785805735e+131,1.790112112212258e+39,0.8760743014991224,2.535070140280561,True,COHERENT CORE,True
116,360.6734951574032,7.171884249156415e+32,1065.1912373160665,5.752429373358875e-37,35.59110024939675,8.994784785805734e+131,1.851724146756617e+39,0.874365400715757,2.557114228456914,True,COHERENT CORE,True
117,379.4532847236942,7.545314730745242e+32,1120.654329429122,5.850585421201455e-37,36.19840570455438,8.994784785805734e+131,1.9154567427869274e+39,0.8726602628992647,2.579158316633267,True,COHERENT CORE,True
118,399.21091297480535,7.938189241230112e+32,1179.005311039366,5.9504163457096554e-37,36.81607386031075,8.994784785805735e+131,1.9813828857361343e+39,0.8709588797636639,2.6012024048096194,True,COHERENT CORE,True
119,419.9972946715306,8.351520205354985e+32,1240.394550714979,6.051950725986923e-37,37.44428153965137,8.994784785805735e+131,2.049578073048011e+39,0.8692612430412192,2.623246492985972,True,COHERENT CORE,True
120,441.86599563859414,8.786372763474753e+32,1304.9802465156517,6.155217628793597e-37,38.083208582764456,8.994784785805735e+131,2.1201204006354908e+39,0.8675673444824005,2.6452905811623246,True,COHERENT CORE,True
121,464.87337080202616,9.24386751638705e+32,1372.9288336638028,6.260246616868001e-37,38.733037898524685,8.994784785805737e+131,2.193090652314714e+39,0.8658771758558427,2.6673346693386777,True,COHERENT CORE,True
122,489.0787094139595,9.725183413083759e+32,1444.4154134426892,6.367067757389514e-37,39.39395551685541,8.994784785805734e+131,2.2685723923172083e+39,0.8641907289483064,2.6893787575150303,True,COHERENT CORE,True
123,514.544387839093,1.0231560788864013e+33,1519.6242044266871,6.475711630586056e-37,40.06615064198444,8.994784785805737e+131,2.3466520609861685e+39,0.8625079955646373,2.711422845691383,True,COHERENT CORE,True
124,541.3360302965381,1.0764304561637571e+33,1598.7490172065147,6.586209338488449e-37,40.74981570660848,8.994784785805738e+131,2.427419073766385e+39,0.860828967527727,2.7334669338677355,True,COHERENT CORE,True
125,569.5226779712825,1.1324787594655562e+33,1681.9937538327813,6.698592513834145e-37,41.445146426981786,8.994784785805737e+131,2.5109659236012263e+39,0.8591536366784726,2.755511022044088,True,COHERENT CORE,True
126,599.1769669310626,1.19144542343341e+33,1769.5729332648907,6.812893329122894e-37,42.152341858944865,8.994784785805734e+131,2.5973882868539046e+39,0.8574819948757374,2.777555110220441,True,COHERENT CORE,True
127,630.3753153071282,1.2534824032287652e+33,1861.7122441793676,6.92914450582692e-37,42.87160445490915,8.994784785805735e+131,2.686785132874339e+39,0.8558140339963116,2.799599198396794,True,COHERENT CORE,True
128,663.1981202212676,1.3187495661163838e+33,1958.6491265621935,7.047379323758281e-37,43.6031401218142,8.994784785805732e+131,2.7792588373370965e+39,0.8541497459348725,2.8216432865731464,True,COHERENT CORE,True
129,697.7299649665538,1.3874151034370432e+33,2060.6333835838664,7.167631630596029e-37,44.34715828007355,8.994784785805732e+131,2.8749152994801905e+39,0.8524891226039448,2.843687374749499,True,COHERENT CORE,True
130,734.0598369757212,1.4596559640311123e+33,2167.92782533399,7.289935851575966e-37,45.10387192352671,8.994784785805732e+131,2.973864063378992e+39,0.8508321559338622,2.8657314629258517,True,COHERENT CORE,True
